"topic_id";"forum_id";"topic_title";"topic_poster";"topic_time";"topic_views";"topic_replies";"topic_status";"topic_vote";"topic_type";"topic_first_post_id";"topic_last_post_id";"topic_moved_id"
110;5;Предлагаю про Любовь: ликбез                                ;3;1143001705;5647;75;0;0;0;1508;6134;0
111;7;Максим, так приятно, что Вы с нами!                         ;3;1143008569;1995;14;0;0;0;1880;7491;0
112;7;Максим Мишаев в роли Чичикова                               ;2;1143012822;1037;4;0;0;0;1882;4110;0
113;3;Новые сообщения не всегда выделяются цветом                 ;3;1143026899;230;2;0;0;0;1923;2025;0
114;5;Чем мы занимаемся в свободное время?                        ;25;1143058640;1623;31;0;0;0;1958;6190;0
337;3;Обработка размера фотографий для аватары                    ;56;1149540593;42;2;0;0;0;7235;7237;0
116;8;Фотографии из Марселя авант премьеры 'Концерта для Чичикова';33;1143170534;962;6;0;0;0;2016;2155;0
117;5;Ценности в жизненном мире                                   ;21;1143292670;1389;22;0;0;0;2073;2591;0
298;1;Есенин и тайны                                              ;5;1148758966;397;2;0;0;0;6857;6888;0
119;1;Устали... Что можно сделать?                                ;3;1143438691;738;5;0;0;0;2172;2551;0
120;13;С Днем Театра!!!                                            ;8;1143443368;212;3;0;0;0;2176;2203;0
131;1;вы не боитесь успеха и славы???                             ;36;1144230468;2933;22;0;0;0;2670;7555;0
122;5;То, что невозможно объяснить                                ;2;1143653338;1764;34;0;0;0;2314;5963;0
331;13;Первый день лета                                            ;56;1149153104;53;6;0;0;0;7138;7164;0
124;2;Самый волшебный спектакль!                                  ;25;1143827281;1784;22;0;0;0;2470;7499;0
125;2;Риголетто                                                   ;8;1143830969;1880;18;0;0;0;2488;7104;0
126;1;Как сильно Вы чувствуете зал?                               ;11;1144005313;708;5;0;0;0;2547;2825;0
128;2;Исповедь хулигана                                           ;10;1144012604;2361;21;0;0;0;2561;4806;0
130;1;Русалочка Андерсена                                         ;9;1144154686;592;2;0;0;0;2610;3138;0
141;4;Гоголь в жизни                                              ;7;1144274797;374;7;0;0;0;2699;2784;0
140;13;С днем рождения, Сергей!                                    ;10;1144270761;733;24;0;0;0;2750;3990;0
335;7;Всем артистам: какие подарки вы любите?                     ;25;1149238668;969;13;0;0;0;7171;7358;0
137;5;Интернет - всё та же жизнь!                                 ;25;1144265992;804;11;0;0;0;2719;2996;0
341;1;Нижинский                                                   ;81;1149670267;344;2;0;0;0;7265;7283;0
142;7;Максиму Мишаеву: Любимая роль                               ;13;1144351957;1104;7;0;0;0;2813;7475;0
143;5;Страшная история, или Всё самое неприятное                  ;11;1144352981;822;13;0;0;0;2815;7567;0
146;8;Образы помещиков в 'Концерте для Чичикова...'               ;2;1144442927;1284;11;0;1;0;2846;4308;0
147;8;Ура! Премьера состоялась!                                   ;10;1144450187;1151;9;0;0;0;2854;3134;0
148;8;КОНЦЕРТ ДЛЯ ЧИЧИКОВА С ОРКЕСТРОМ: ваши впечатления          ;3;1144499736;4358;41;0;0;1;2877;6331;0
149;12;Чужеземная речь: умеем ли слушать сердцем?                  ;2;1144517185;2269;93;0;0;0;2432;6223;0
300;9;Программки и их содержание                                  ;7;1148838452;491;3;0;0;0;6910;6921;0
151;1;И смех, и слёзы...                                          ;5;1144527979;827;7;0;0;0;2909;4488;0
152;7;Максим, с кем Вам легче играть?                             ;5;1144528479;410;1;0;0;0;2911;3169;0
